n,eps,w,trials,fails,failprob
65536,1.00,8,40000,29503,0.737575
65536,1.00,9,40000,12654,0.31635
65536,1.00,10,40000,4128,0.1032
65536,1.00,11,40000,1230,0.03075
65536,1.00,12,40000,346,0.00865
65536,1.00,13,40000,103,0.002575
65536,1.00,14,40000,41,0.001025
65536,1.00,15,40000,5,0.000125
65536,1.00,16,40000,4,0.0001
65536,1.00,17,40000,3,7.5e-05
65536,1.00,18,40000,0,0
262144,1.00,8,12000,11958,0.9965
262144,1.00,9,12000,9452,0.787667
262144,1.00,10,12000,4208,0.350667
262144,1.00,11,12000,1460,0.121667
262144,1.00,12,12000,406,0.0338333
262144,1.00,13,12000,98,0.00816667
262144,1.00,14,12000,32,0.00266667
262144,1.00,15,12000,10,0.000833333
262144,1.00,16,12000,4,0.000333333
262144,1.00,17,12000,3,0.00025
262144,1.00,18,12000,0,0
1048576,1.00,8,3500,3500,1
1048576,1.00,9,3500,3490,0.997143
1048576,1.00,10,3500,2876,0.821714
1048576,1.00,11,3500,1384,0.395429
1048576,1.00,12,3500,477,0.136286
1048576,1.00,13,3500,129,0.0368571
1048576,1.00,14,3500,30,0.00857143
1048576,1.00,15,3500,15,0.00428571
1048576,1.00,16,3500,5,0.00142857
1048576,1.00,17,3500,0,0
1048576,1.00,18,3500,0,0
4194304,1.00,8,1000,1000,1
4194304,1.00,9,1000,1000,1
4194304,1.00,10,1000,1000,1
4194304,1.00,11,1000,853,0.853
4194304,1.00,12,1000,424,0.424
4194304,1.00,13,1000,128,0.128
4194304,1.00,14,1000,47,0.047
4194304,1.00,15,1000,28,0.028
4194304,1.00,16,1000,3,0.003
4194304,1.00,17,1000,1,0.001
4194304,1.00,18,1000,0,0
